День 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.Вход в клуб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Хотя при чем тут оно? Рубашка говорит сама за себя: смотрите все, к вам пришел нервный дилетант!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресепшн;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Выбор (незначительный, без последствий) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"1. Начни разговор с ""я супер тренер"". Несите штангу, покажу.                                                                                                                    ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2. Можешь притвориться клиентом, чтобы.. Она смотрит на нас! Говори уже!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1. Добрый день! Меня зовут Адам Райс. Я записан на собеседование к Тельме.  ;;;;;;;Reception6;ГГ держит брови хмурыми. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Привет! Меня зовут Рэйчел . Мне очень приятно. ;;;;;;;Reception7;Девушка натянуто улыбается.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Эм.. Да, вы на 15.30? Она вас ожидает. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Я прежде бы хотел сходить в уборную.;;;;;;;Reception8;гг отводит взгляд, Рэйч супер милая. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;С вами все в порядке? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Да, все просто отлично. Чрезвычайно жаркий день сегодня. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Это точно, кондиционеры едва ли справляются.;;;;;;;Reception9;Она указывает рукой направление.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Поверните сейчас направо и идите прямо до двери, от нее налево и снова прямо по коридору. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Направо. Прямо. Налево. Прямо. Будто бы ход конем, да? ;;;;;;;Reception10;ГГ глупо улыбается. Рэйч чуть в шоке ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Ну да. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Общей кадр ресспшена;;;;;;;Reception10;ГГ уходит в уборную. Клик по убрной;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;2. Добрый день! Я подыскиваю себе хороший зал для тренировок. ;;;;;;;Reception6;ГГ держит брови хмурыми. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Хотел бы осмотреться. Где у вас уборная? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Добрый день. Меня зовут Рэйчел . ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Мы всегда рады новым клиентам. Вы хотите начать осмотр с уборной? ;;;;;;;Reception11;Девушка очень удивлена.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Уверена, здесь найдутся места поинтереснее. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;А что такого? ;;;;;;;Reception13;Девушка прикрывает рот ладонью, скрывает смешок. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я вам так скажу, глобальная проблема всех залов нашего города - плохо устроенные уборные. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;В них всегда мало места. Длинные очереди. ;;;;;;;Reception14;гг закатывает глаза. как в мемчике с тони старком ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Нужно прям постараться, чтоб протолкнуться! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Да-да, продолжай гнуть эту линию, Адам. Отличное начало, идиот!"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Вы толкаетесь в уборных?;;;;;;;Reception15;Девушка очень удивлена. но улыбается ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Не то что бы.. эм. Иногда. Когда очень надо. Бывает. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Не часто, скорее даже редко. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Поверните сейчас направо и идите прямо до двери, от нее налево и снова прямо по коридору. ;;;;;;;Reception16;Она указывает рукой направление.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Общей кадр ресспшена;;;;;;;Reception16;ГГ уходит в уборную. Клик по убрной;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коридор/Уборная ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Примечание: Том, футболка, которую том снял, том у зеркала фоткает себя, сушилка для рук.;;;;;;музыка: wcBgm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Фитнес центр просто огромный! ;;;;;;Звук: doorBoth;AdamTom;ГГ следует указаниям. Проходит мимо залов (стеклянные двери за ними фигуры людей, чет делают);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я в таких прежде никогда не бывал. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;AdamTom1;ГГ попадает в уборную. ГГ замечает накаченного парня, который фотографирует на телефон обнаженный торс в зеркале. (в любой позе культуриста)                                        ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Воу, как здорово проработана форма тела! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Он, должно быть, сутками не выходит из зала. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;С такими результатами можно смело выступать в какой-нибудь категории бодибилдинга.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Посмотрел так, будто мы у него последний протеиновый батончик забрали."" ";;;;;;;AdamTom2;Заметив ГГ, парень бросает ему презрительный взгляд и удалился вглубь уборной, оставив свою футболку у раковин.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""У нас тоже форма отличная! Просто не на массе. В йоге важнее гибкость и гармония.""  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Эти пятна просто ужасны. Я не могу идти в таком виде. ;;;;;;Звук: handWash;AdamTom3;ГГ умывается. Смотрит на себя в зеркало. Крупные капли воды на его лице. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я похож на ребенка, который забыл надеть слюнявчик. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Выбор (незначительный, без последствий) ;;;;;;;;;интерактив - футболка/сушлка ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;GeneralFrame;Общий кадр: видно и качка и сушилку.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1. Использовать сушилку для рук. Все так делают. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2. Одолжить футболку у того качка. Так иногда тоже делают. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;1. А неплохо. Вроде сохнет. Дааа. ;;;;;;Звук: СушилкаРук;AdamTom4;гг подходит к сушилке, корчится, чтоб попасть под нее (или положение гг будет зависеть от самой сушилки) \;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;ПоломкаСушилки;AdamTom5;"Сушилка ""чихает"" чем-то черным на гг, пачкает его ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Да какого черта?! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Стало только хуже.. Будто сама судьба пророчит мне провал. ;;;;;;;AdamTom6;ГГ упирается лбом в сушилку., будто стукается об нее ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ну все. Я сдаюсь, судьба. Моя работа полностью в твоих руках.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парень: ;Эй! Полегче. Зачем технику ломаешь? ;;;;;;;AdamTom7;Парень стоит, скрестив руки на груди. (у него доброе лицо) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Я ничего не сделал. Оно само! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парень: ;Да ну? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Боже! Это бесполезно. ;;;;;;;AdamTom8;ГГ выходит из уборной в рубашке с оч ярким пятном. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2. Думаю, он не обидится. Я верну. Обещаю. И у него прекрасная фигура, такое скрывать - преступление. ;;;;;;;AdamTom9; ГГ тянется за футболкой тома (или подкрадывается );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;А мне пока рано разгуливать здесь с голым торсом. Хотя я уверен, что произвел бы впечатление. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парень: ;Эй, ты что делаешь?! Ты один из этих, которые вещи чужие собирают? ;;;;;;;AdamTom10;Парень стоит, скрестив руки на груди. (у него доброе лицо) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Ээ..Все совершенно не так. Нет. Я просто.. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парень: ;Я не осуждаю. И поделился бы своей, но у меня сейчас тренировка с очень придирчивой дамой. ;;;;;;;AdamTom11;"тот же стат, том разводит руками, гг напротив него - руками показывает ""нет нет""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Так что прости. В другой раз.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Нет-нет. Я не собираю ношеные футболки. Ты неправильно понял.. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Парень: ;Не переживай. Это нормально, наверное. Я уже встречал таких. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Боже! Это бесполезно. ;;;;;;;AdamTom12;ГГ выходит из уборной в рубашке с оч ярким пятном. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ресепшен / Коридор ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Последствия для выбора: я - тренер/я - клиент;;;;;;;Музыка: receptionBgm;AdamRachel;Возвращается на ресепшн. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;1. (Если ГГ ранее сообщил, что идет на собеседование): Я готов и хотел бы пойти к мисс Тельме. ;;;;;;;AdamRachel1;ГГ, подходя к ресепшен, приглаживает волосы. Лицо его спокойно. Рэйч улыбается ГГ. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Я провожу тебя. Ее кабинет находится в еще более сложном лабиринте, чем уборная. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Иногда мне кажется, что я сама могу заблудиться в этих бесконечных коридорах. ;;;;;;;AdamRachel2;она выходит из-за стойки с папкой в руке ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Видимо на это и расчет, чтоб, выходя из одного зала, ты соблазнился и заглянул в бассейн. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Это сработает только на заядлых любителей спорта. ;;;;;;;AdamRachel3;Рэйч и гг идут рядом по коридору ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;А ты не одна из них? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Если честно, со спортом у меня сложные отношения. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Эй, если тебя позвали на собеседование, то ты, весьма вероятно, будешь здесь работать. Не волнуйся так. ;;;;;;;AdamRachel4;Они пришли к кабинету. Она протягивает ему папку, указывает на черное пятно на груди. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Ооу, только не говори, что я выгляжу жалким. И это бросается в глаза. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Нет, ты выглядишь, как испуганный милый мальчик. ;;;;;;;AdamRachel5;Она улыбается ГГ. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Просто держи ее прижатой к себе. ;;;;;;;AdamRachel6;ГГ забирает папку. Их пальцы соприкасаются. Она чуть краснеет. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;Спасибо. Ты очень внимательная. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;AdamRachel7;Рэйч отворачивается от гг в сторону двери тельмы ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;2. (Если ГГ ранее сообщил, что он будущий клиент ): Я бы хотел пойти к вашей управляющей! ;;;;;;;AdamRachel8;ГГ ставит руки на стойку администратора. Рэйч удивлена. Пытается подавить смех, прикрывает рукой рот. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;В ваших уборных черт знает что происходит! Вы вообще там бываете?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Хм. В мужских уборных - никогда. Мне жаль, что это с вами случилось. ;;;;;;;AdamRachel9;Она опускает глаза.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Мы решим эту проблему, обязательно.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Я отведу вас к мисс Тельме. Следуйте за мной.  
";;;;;;;AdamRachel2;она выходит из-за стойки с папкой в руке ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Эх. Профессиональная вежливость, понимаю. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Нет, я бы не стала тревожить Мисс Эдригон уборными. ;;;;;;;AdamRachel3;Рэйч и гг идут рядом по коридору ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Тогда почему ты ведешь меня к ней? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Потому что у каждого резюме есть фото. ;;;;;;;AdamRachel4;Они пришли к кабинету. Она протягивает ему папку, указывает на черное пятно на груди. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Просто держи это прижатым к себе. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Чувствую себя идиотом. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;И это только начало. Не волнуйся. ;;;;;;;AdamRachel10;Рэйч отворачивается от гг в сторону двери тельмы ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коридор;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Мисс Эдригон, к вам... ;;;;;;Звук: doorKnock;AdamRachel11;Рэйчел  приоткрыла кабинет, но смотрит на гг.ухмыляется ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;Адам Райс. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Новый тренер по йоге. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""У нее отличная задница. Что-то не верится, что она не дружит со спортом."" ";;;;;;;AdamRachel12;Рэйчел  заглядывает в кабинет Тельмы. (половина тела в кабинете, половина перед гг, он пялит на задницу) игроку не видно, че в кабинете. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Не смотри, ты снова начинаешь потеть. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Рэйчел : ;Можешь зайти. ;;;;;;;AdamRachel13;Рэйч отстраняется от кабинета. смотрит на гг (пусть у нее лицо будет таким, будто она заметила, что гг пялился на задницу- ухмылка, скрещенные руки, приподнятая бровь) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;На тебе лица нет. Успокойся. Тебя перекрестить? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Что? Нет, спасибо. ;;;;;;;AdamRachel14;гг в шоке, чуть отстраняется от Рэйч ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07. Кабинет Тельмы ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Примечание для кабинета: (пиджак Тельмы повесить на стул, на столе фотка дочери, ноут, мобилка крутая, запасные туфли под столом - любые(она их носить не будет) ;;;;;;Музыка: thelmaBgm1;Office;ГГ заходит в кабинет. (тельма сидит за столом, головы не поднимает, чет пишет.) гг прикрывает папкой пятно на груди ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Жаль, что ее нельзя взять с собой. Как-то с ней было спокойнее. ;;;;;;;Office1;гг стоит в кабинете - напряженный с застывшей жутковатой улыбкой (с папкой). https://ru.pinterest.com/pin/606649012323603231/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Покашляй. Она уже в возрасте, может забыла, что ты вошел."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Мисс.. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;Готов завтра выйти? ;;;;;;;Office2;гг бледнее, лицо - серьезное недоумение ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;Куда? А! Да. Конечно. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;Сколько лет ты в этом деле? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;В каком деле? А!.. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;Понятно. Можешь идти. ;;;;;;;Office3;тельма поднимает голову (снимает очки), смотрит на гг с пренебрежением ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Что?! Почему?! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;Дел ведь много бывает. Я вот не только йогой занимаюсь. ;;;;;;;Office4;тельма опускает голову, больше не слушает, продолжает писать. ГГ шагает ближе к ее столу;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Еще и массаж профессиональный делаю. И восстанавливаю людей после травм. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Ты жалок. Но смотри на нее внимательно: такой, как она, твоя жалкая натура может понравиться."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Вы же читали мое резюме. Я очень крутой специалист. ;;;;;;;Office5;ГГ кладет папку на ее стол, которой прикрывал пытно. пятно оч видно  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;С каких пор стало считаться, что дерзость - путь к успеху? ;;;;;;;Office6;тельма поднимает голову ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Как думаешь, те, кто до тебя побывал у нее на собеседовании, живы? Или она их целиком проглатывает?"" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;С тех пор, как на одно рабочее место приходится 2,5 сотрудника. ;;;;;;;Office7;тельма откидывается в кресле. Смотрит устало на гг (она должна чуть развернуться в кресле в сторону гг, чтоб было видно ее ноги - одна на другой);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Дайте мне 10 минут, я смогу вас удивить. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;И больше никаких собеседований или дерзостей. А завтра у вас профессионал на смене. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;Если собираешься плакать, показывать фокусы, раздеваться или петь, то это мои будни, а не новость. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ;Ох. Нет. Ничего подобного. ;;;;;;;Office8;ГГ опускает перед тельмой на колени. Тельма оживляется, на ее лице ЕДВА заметная ухмылка. (типа: https://ru.pinterest.com/pin/852095192023300030/);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Да, все правильно, Адам, на колени."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я знаю такие точки на теле, которые способны расслабить человека.  ;;;;;;;Office9;Тельма внимательно смотрит на гг. гг тянет руку к ее ноге ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Из его головы уйдут тревоги и раздражение. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wiggle;"""Попроси ее."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Вы мне позволите показать? ;;;;;;Музыка: КабинетТельмыМасажЛуп;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Тельма ;Начинайте. ;;;;;;QTE ПКМ;Office10;Тельма чуть протягивает ногу гг. пятка как бы в ладони гг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
