; Было бы странно, если б у хозяина  Pink Star была некрасивая вилла. Не находите? ;;;;;;;AlfredSarcastic;Альфред, поднимаясь по лестнице, чуть ухмыляется;;;;;;;;;;;;;;;;;;;;
ГГ:;А где я могу его найти? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я бы хотел поблагодарить за приглашение. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Понимаете, это мой модельный дебют. ;;;;;;;AlfredSad1;Они стоят у комнаты ГГ. (У Альфреда скучающее лицо) ;;;;;;;;;;;;;;;;;;;;
;Я очень взволнован. И просто счастлив. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Вот, даже руки дрожат. Смотрите. ;;;;;;;MaxHands;ГГ протягивает Альфреду руки, показывает, как они дрожат (сумка гг стоит на полу) ;;;;;;;;;;;;;;;;;;;;
Альфред:;Я рад за вас. Мистер Эдвард Голд еще не вернулся. ;;;;;;;AlfredBrow;Альфред поднимает бровь, удивленно смотрит на руки гг ;;;;;;;;;;;;;;;;;;;;
;Полагаю, он будет завтра. Ближе к вечеру.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Получается, я приехал первый? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред:;Нет. Почему вы так решили? Здесь уже есть почтенные гости. ;;;;;;;MaxSmiles;Альфред недоумевает, гг глупо и радостно улыбается ;;;;;;;;;;;;;;;;;;;;
;Думаю, они во внутреннем дворе, наслаждаются солнцем и напитками.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;"""Бассейн наполненный просекко?!"" ";;;;;;;MaxPool;ГГ воображает, как он сидит на стенке бассейна и виливает из 2х рук алкоголь в бассейн. ;;;;;;;;;;;;;;;;;;;;
Альфред:;Мистер Эванс, светские, вежливые беседы - определенно мое хобби. ;;;;;;;MaxFantasy;Альфред будто заглядывает в лицо гг, вырывает его из воображения ;;;;;;;;;;;;;;;;;;;;
;Но я вынужден вас покинуть. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Можем пообщаться за чашечкой чая немного позже, если захотите.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Спасибо, Альфредос! Увидимся.;;;;;;;AlfredSad2;Альфред, уходя, недовольно оборачивается на ГГ. ;;;;;;;;;;;;;;;;;;;;
Комната ГГ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;"""Мистер Голд даже чрезмерно щедрый."" ";;;;;;Музыка: комната ГГ ;Room;ГГ заходит в свою комнату, бросает сумку. ;;;;;;;;;;;;;;;;;;;;
;"""Это же не просто комната, а целые персональные хоромы."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Я должен запомнить все до мельчайших подробностей."" ";;;;;;;Room1;Осматривает ее (разные кадры комнаты) ;;;;;;;;;;;;;;;;;;;;
;"""О вкусах не спорят, конечно. Но был бы еще смелее в своем самовыражении!"" ";;;;;;;Room2;ГГ смотрит на Картину ;;;;;;;;;;;;;;;;;;;;
;"""Я бы решился повесить свой портрет, будь в моем владении Дом моды."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Вот уж вряд ли это часть декора."" ";;;;;;;Room3;ГГ смотрит на цветок. За ним бутылка вина (маленькая бутылка чего-то);;;;;;;;;;;;;;;;;;;;
;"""Открытая и на донышке что-то еще плещется."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Выбор (незначительный, без последствий) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1. Выпить ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2. Не пить;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1. Тфу. Ну и пойло. Оно скисло давно. Фу.. ;;;;;;;Room4;ГГ пьет ;;;;;;;;;;;;;;;;;;;;
;2. Оставлю там, где лежало. Вдруг кто-то нервы так успокаивает. ;;;;;;;Room5;ГГ оставляет бутылку на месте. ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Если мистер Голд приедет завтра, значит, сегодня можно будет познакомиться с.. как сказал Альфредос - с почтенными гостями, осмотреть всю территорию виллы."" ";;;;;;;Room6;ГГ чешет подбородок;;;;;;;;;;;;;;;;;;;;
;"""И в целом весело провести время."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Но для начала я бы принял душ и сытно пообедал."" ";;;;;;;Room7;ГГ валится на кровать.;;;;;;;;;;;;;;;;;;;;
;"""Ооо! Восторг. Я утопаю в этой мягкости."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Может к черту все приготовления..сначала поспать, после все остальное.""";;;;;;Звук: стук в дверь ;;;;;;;;;;;;;;;;;;;;;;
Грейс, Челси;Привееет!  ;;;;;;;Prohodka;Проходка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Prohodka1;Проходка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Prohodka2;Проходка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Prohodka3;Проходка;;;;;;;;;;;;;;;;;;;;
ГГ:;Оуу, привет. ;;;;;;;Room8;ГГ открывает двери. Перед ним две похожие и не похожие девушки. (Грейс и Челси);;;;;;;;;;;;;;;;;;;;
Челси:;Мы слышали, что Альфред сегодня кого-то встречал. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Пришли знакомиться с новым соседом. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Меня зовут Грейс, ее - Челси. ;;;;;;;Room9;Грейс показывает рукой на Челси ;;;;;;;;;;;;;;;;;;;;
ГГ:;Очень приятно, Грейс. Очень приятно, Челси. Я Макс.;;;;;;;Room10;ГГ растопыривает руки в стороны, будто хочет обнять девиц ;;;;;;;;;;;;;;;;;;;;
Челси:;Как доехал? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Много вещей взял? ;;;;;;;Room11;Гр и Чел обходят гг с разных сторон в глубь комнаты, глядя с этих разных сторон на гг  (как у себя дома);;;;;;;;;;;;;;;;;;;;
Челси:;Как ты познакомился с Эдвардом? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Давно ты модель? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси:;Мужчины модели всегда такие красавчики. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Вау! У тебя классня комната! ;;;;;;;Room12;Девушки проходят в комнату, ГГ, закрывая за ними дверь, с растерянной улыбкой чешет затылок. ;;;;;;;;;;;;;;;;;;;;
ГГ:;Я за вами не поспеваю! Милые дамы. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Доехал хорошо, спасибо. Вещей взял немного. ;;;;;;;Room13;ГГ разворачивается к ним, Челси уже сидит на кровати, тянет за собой грейс, чтоб она тоже села ;;;;;;;;;;;;;;;;;;;;
;Думаю, не успею за неделю порадовать окружение всей коллекцией моих костюмов.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; С Эдвардом познакомился в баре. Модельная индустрия интересовала меня давно. ;;;;;;;Room14;Обе сидят, гг подходит к ним;;;;;;;;;;;;;;;;;;;;
;Фух! Вроде ничего не забыл.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси:;Каков, а? Ничего не забыл. ;;;;;;;Room15;Девушки сели на кровать ГГ - близко друг к другу: Грейс кладет голову на плечо Челси, смеются. ;;;;;;;;;;;;;;;;;;;;
Грейс:;Не думала, что Эдвард успевает обойти городские бары в поиске таких симпатичных мальчиков. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси:;Ага, я тоже думала, что он живет или в доме моды, или на пляже, или у бассейна. ;;;;;;;Room16;Грейс и Челси смотрят друг на друга, пока говорят, оч близко их лица. улыбаются. Челси машет рукой, перечисляя ;;;;;;;;;;;;;;;;;;;;
;Больше нигде я с ним не пересекалась.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Садись! Расскажи нам, как это было.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси:;Ты пошел вечером выпить. Заказал бокал пива. ;;;;;;;Room17;ГГ садится на кровать между девушками. Челси кладет руку ггна колено, Грейс на предплечье. ;;;;;;;;;;;;;;;;;;;;
;И тут вошел Эдвард? ;;;;;;;;внимание! статик не привязан ;;;;;;;;;;;;;;;;;;;;
ГГ:;Эм.. Не совсем. Все было гораздо интереснее.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Ну же.. не томи! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Я в самом деле зашел в бар тем вечером, чтоб заказать себе пива. ;;;;;;;Memory;ГГ за барной стойкой в рандомном баре, ему девушка закрывает ладонями глаза. ;;;;;;;;;;;;;;;;;;;;
;И только уселся за барную стойку, как ко мне сзади кто-то подходит. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Закрывает ладонями глаза и говорит: Угадай кто? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Женский, веселый голос, мне совершенно незнаком. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Я понимаю, что милая девушка ошиблась.;;;;;;;Memory1;ГГ за барной стойкой, улыбается, чуть отводит от глаз ладони девушки, вот-вот к ней повернется ;;;;;;;;;;;;;;;;;;;;
;Аккуратно отнимаю ее руки от своего лица. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Она видимо тоже поняла, что ошиблась. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Но не успел я обернуться к ней, чтоб посмеяться над ситуацией, как мне тут же в челюсть и прилетело.;;;;;;;Memory2;ГГ летит на пол вместе со стулом. Лицо немного в крови. ;;;;;;;;;;;;;;;;;;;;
;Оказалось, что ее парень чуть задержался и застал нас как раз в тот момент, когда я держал руку девушки. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;О боже! Неужели Эдвард на такое способен?! ;;;;;;;Room18;Обе девушки хватают ГГ за руки. На их лицах ужас. ;;;;;;;;;;;;;;;;;;;;
Челси:;Никогда бы не подумала, что он такой ревнивец. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Он вчера себя вел как обычно? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Обычнее обыкновенного. Собрался, как всегда, не переставая говорить по телефону, и уехал по работе. ;;;;;;;Room19;Грейс пожимает плечами (в кадре все остается прежним - поожение гг и челси);;;;;;;;;;;;;;;;;;;;
ГГ:;Нет-нет! Эдвард был этим вечером в баре и все видел со стороны.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Он меня с пола сгреб и отвез в больницу. Так и познакомились. ;;;;;;;Room19.1;ГГ очень довольный кладет ладони на плечи девушкам. девушки убрали руки от гг;;;;;;;;;;;;;;;;;;;;
;Забавно было, что на первый кастинг я пришел с заметно опухшим лицом. Ух! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Но несмотря на это, Эдвард разглядел во мне что-то. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси:;Ну еще бы! Он же видел тебя до побоев в баре! ;;;;;;;Room20;Челси ухмыляется;;;;;;;;;;;;;;;;;;;;
Грейс:;Ты же красавчик. ;;;;;;;Room21;Она треплет пальцами его щеку, как маленького мальчика. ;;;;;;;;;;;;;;;;;;;;
ГГ:;Спасибо. Я очень польщен. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;А вы как познакомились с Эдвардом? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Эх, наша история не такая захватывающая, как твоя.;;;;;;;Room22;Челси искусственно грустит, грейс сочувственно касается ее (волос, плеча, руки);;;;;;;;;;;;;;;;;;;;
;Меня рекомендовали, как профессиональную модель. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;И Эдвард взял меня, не раздумывая. ;;;;;;;Room23;Челси горделиво поднимает подбородок, лицо гг вытягивается от удивления ;;;;;;;;;;;;;;;;;;;;
;Потому что рекомендация пришла от семьи Крайсов. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Ого! Так ты супер-крутая модель! Акула! ;;;;;;;Room24;Челси смеется, кладет голову на колено ГГ. ;;;;;;;;;;;;;;;;;;;;
;Я знаю, что они только таких и держат у себя. ;;;;;;;Room25;ГГ в шоке размахивает руками над челси, грейс улыбается ;;;;;;;;;;;;;;;;;;;;
;Я пробовался как-то к ним. Меня даже на порог не пустили.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Да уж, они те еще хищники. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;А потом я пригласила Грейс. ;;;;;;;Room26;Челси, лежа на коленях гг, указывает пальцем на грейс  ;;;;;;;;;;;;;;;;;;;;
;У нее отличная фигура и потрясающе красивое лицо. Согласись? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;О да. Она очень красивая. ;;;;;;;Room27;Грейс, не касается ГГ, сидит рядом, смущенно заломив руки, покраснела, опустила глаза. ;;;;;;;;;;;;;;;;;;;;
Челси: ;Не смущайся, Грейс. ;;;;;;;Room28;Челси, лежа на коленях гг, касается щеки грейс (если она дотянется до нее, если не дотянется, то пусть гладит гг) ;;;;;;;;;;;;;;;;;;;;
;Видишь, Макс тоже оценил, насколько ты хороша. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;А вы очень близки? Давно дружите? ;;;;;;;Room29;если челси все же дотянулась до грейс, то гг пядится на протянутую руку челси, если челси коснулась гг, то гг прикрыл глаза от удовольствия;;;;;;;;;;;;;;;;;;;;
Челси: ;Дружим ..эм..наверное больше 5 лет. Мы ооочень близки. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс: ;И все делим поровну. ;;;;;;;Room30;Грейс хитро улыбается, касается волос Челси. (которая все еще лежит на колене ГГ);;;;;;;;;;;;;;;;;;;;
Челси: ;Иногда кажется,что мы одно целое. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Нам даже нравятся одни и те же вещи, еда, а порой и парни.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;И никогда не было ревности, если понравится один и тот же парень? ;;;;;;;Room31;ГГ удивленно на них таращится ;;;;;;;;;;;;;;;;;;;;
Челси: ;О нет. Грейс уже сказала, что мы все делим поровну.;;;;;;;Room32;Грейс наклоняется к Челси, целует ее в лоб. Челси придерживает прядь волос Грейс.;;;;;;;;;;;;;;;;;;;;
ГГ: ;"""Вау, они очаровательны. И так ласковы друг с другом. Это выглядит очень мило."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Я был бы не против, если бы они поделили и меня."" ";;;;;;;Room33;Челси резко поднимается с кровати. Лица ГГ и Грейс удивленные.;;;;;;;;;;;;;;;;;;;;
Челси: ;Грейс, мы забыли! Проклятье! Мы совсем забыли! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Что?! О чем ты? Аааах..Да! Сью! Мы же обещали ее встретить! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Кто такая Сью? Третья ваша подружка? ;;;;;;;Room34;Челси протягивает руку Грейс, помогая ей скорее встать. ;;;;;;;;;;;;;;;;;;;;
Челси: ;Нет-нет. Нас только двое. Сью - служанка. Помощница Альфреда. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Хотя, кажется, они не особо ладят. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ну да ладно. Мы обещали встретить Сью, когда она будет возвращаться от флориста. ;;;;;;;Room35;Грейс и чел рядом друг с другом, вставшие с кровати, смотрят тревожно др на др;;;;;;;;;;;;;;;;;;;;
Челси: ;Да, говорили,что поможем. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Это все ты нас заболтал и увлек своей историей, очаровашка. ;;;;;;;Room36;Обе стоят в дверях, так же близко друг к другу, как когда входили.;;;;;;;;;;;;;;;;;;;;
ГГ:;Ну простите, я не нарочно.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Нам пора. До встречи, Макс! ;;;;;;;Room37;;;;;;;;;;;;;;;;;;;;;
Грейс:;Как бы Сью на нас не обиделась. ;;;;;;;Room38;Девушки уходят из комнаты ГГ.;;;;;;;;;;;;;;;;;;;;
;Черт! Ну мы как обычно - все забываем. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Сон как рукой сняло. Ему на смену пришел голод.;;;;;;;Room39;ГГ с горящими глазами, закусил губу, сидя на кровати ;;;;;;;;;;;;;;;;;;;;
Челси: ;Ох, чувствую мы здорово повеселимся вместе. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Коридор (лестница) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Сью, ну прости нас! Мы не специально! ;;;;;;Музыка: Улица/Холл/Коридор ;Hall;ГГ спускается с душевыми принадлежностями. ;;;;;;;;;;;;;;;;;;;;
Грейс:;Да, мы не специально. Просто вылетело из головы. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Hall1;Проходка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Hall2;Проходка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Hall3;Проходка;;;;;;;;;;;;;;;;;;;;
Сью:;На что я только рассчитывала, полагаясь на вас!  ;;;;;;;Hall4;Сью стоит спиной к гг, отчитывает чел и гр. они виновато смотярт в пол.;;;;;;;;;;;;;;;;;;;;
;Вы как обычно - что не попросишь, ничего не сделаете. ;;;;;;;Hall5;Сью взмахивает руками (все остальное положение такое же) ;;;;;;;;;;;;;;;;;;;;
Грейс:;Ну Сью, не дуйся!;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;"""Они все-таки не успели."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Надеюсь, Сью окажется снисходительной к двум провинившимся очаровашкам."" ";;;;;;;Hall6;ГГ, сидя на корточках, как в статике, только без сью https://drive.google.com/file/d/1IXy0zAymtz1p2zMm_9vKHqFtn2Sa_w17/view?usp=drive_link, хмурится. - крупный план ;;;;;;;;;;;;;;;;;;;;
Сью: ;Но самое обидно, что это было нужно вам. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;И я пошла навстречу! И вы, как обычно, забыли. ;;;;;;;Hall7;Сью руки в боки (можно тоже на фоне гг, как в статике выше и ниже);;;;;;;;;;;;;;;;;;;;
;Я тащила все это одна! Вы же знаете, что Альфред мне не помощник. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Прости-прости-прости. ;;;;;;;Hall8;ГГ чуть спускается и видит силуэт со спины Сью - в красивой, обтягивающей униформе. ;;;;;;;;;;;;;;;;;;;;
Грейс:;Мы придумаем, как загладить вину.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Челси: ;Ну хочешь, завтра мы перемоем всю посуду вместо тебя. ;;;;;;;Hall10;Челси тянет руки к Сью, грейс с опущеной головой ;;;;;;;;;;;;;;;;;;;;
;Весь день будешь сидеть, а мы будем мыть.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сью: ;Ладно.. Но еще весь день готовите сами свои напитки. Ясно? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Грейс:;Да. По рукам. Ты прощаешь нас? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Сью: ;Эх.. А что мне еще с вами делать? Конечно. ;;;;;;;Hall9;Силуэт (вместе с Челси и Грейс) уходит в глубь дома. ;;;;;;;;;;;;;;;;;;;;
ГГ:;"""А могла ведь заставить их устроить генеральную уборку виллы.""  ";;;;;;;Dream;ГГ воображает, как Грейс и Челси вспотевшие протирают пыль в его комнате в секси-нарядах.;;;;;;;;;;;;;;;;;;;;
;"""Я бы на это посмотрел."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ванная комната ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Музыка: Ванная-адалт. спокойная, эротичная. Тише,чем во всей игре  ;5.Bath001;ГГ у двери в ванную, она слегка приоткрыта. ГГ заглядывает в нее. ;;;;;;;;;;;;;;;;;;;;
ГГ: ;"""Кажется, я не вовремя."" ";;;;;;;5.Bath002;Комната в парУ. все глянцевые поверхности покрыты испариной. Девушка лежит в ванной. Одной рукой сжимает свою грудь, другая спрятана под водой. На ее лице удовольствие. ;;;;;;;;;;;;;;;;;;;;
Девушка: ;(едва слышно) Аааах.. боже.. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ: ;"""Или наоборот. Очень даже кстати.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Девушка: ;(едва слышно) Да-да.. я могу глубже.. Ооох.;;;;;;;5.Bath003;Девушка отталкивается от ванной, спина ее выпрямляется, она запрокидывает голову. На лице удовольствие.  ;;;;;;;;;;;;;;;;;;;;
ГГ: ;"""Как же горячо она кончила.."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Я бы хотел посмотреть, как она начала ласкать себя."" ";;;;;;;5.Bath004;ГГ глядит напряженно, капельки пота на лбу;;;;;;;;;;;;;;;;;;;;
;"""Она гладила бы свои губы, затем шею."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Задержалась какое-то время на сосках. Пощипала их."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Сжала бы свою грудь. Не торопясь, облизала медленно свои пальцы.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"И снова стала бы водить по уже скользким соскам."" ";;;;;;;5.Bath005;Девушка обмякла, легла обратно в ванну, медленно повернув голову. Через полуприкрытые веки посмотрела на ГГ. ;;;;;;;;;;;;;;;;;;;;
;"""Мистер Эванс, я рад, что застал вас еще до душа. Срочно требуют ваши размеры для показа новой коллекции."" ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"""Да, именно так.."" ";;;;;;;5.Bath006;Поднесла руку к губам, облизала пальцы. ;;;;;;;;;;;;;;;;;;;;
Девушка: ;(едва слышно) Мммм..как же это приятно. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред: ;Кхм-кхм. ;;;;;;Музыка: прервать адалт мюзик ;5.Bath007;Альфред позади гг, кашляет с рукой у рта ;;;;;;;;;;;;;;;;;;;;
ГГ:;"""У таких, как он, должен быть с собой телепорт. """;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Альфред: ;Мистер Эванс, я рад, что застал вас еще до душа. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Срочно требуют ваши размеры для показа новой коллекции. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Звонил мистер Голд, эти данные требуются сейчас же.;;;;;;;5.Bath008;ГГ смущенно отошел от двери ближе к Альфреду, прикрывая полотенцем свой стояк. ;;;;;;;;;;;;;;;;;;;;
ГГ:;Эмм..Как неожиданно. ;;;;;;;5.Bath009;(у Альфреда все такое же скучающее лицо) ;;;;;;;;;;;;;;;;;;;;
Альфред: ;Я вам помогу. Обхват груди, талии, бедер и ваш рост. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ГГ:;Кажется, обхват груди 103 или 102 ;;;;;;;5.Bath010;ГГ свободной рукой пытается обхватить одну свою грудь, растопырив ладонь ;;;;;;;;;;;;;;;;;;;;
